id,danceability,energy,acousticness,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,key,duration_ms,peak,chart_time
343YBumqHu19cGoGARUTsd,0.927,0.488,0.108,0,0.196,-9.433,0.42,0.605,133.987,4,9,210937,1,44
4Km5HrUvYTaSUfiSGPJeQR,0.927,0.665,0.061,0,0.123,-5.313,0.244,0.175,127.076,4,11,343150,1,44
5aAx2yezTd8zXrkmtKl66Z,0.681,0.594,0.165,0.00000349,0.134,-7.028,0.282,0.535,186.054,4,7,230453,3,44
6fujklziTHa8uoM5OQSfIo,0.794,0.646,0.13,0,0.14,-6.235,0.0614,0.322,145.931,4,0,291893,4,33
7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,0.414,0,0.111,-5.599,0.0338,0.661,95.01,4,8,244960,4,44
5hTpBe8h35rJ67eAWHQsJx,0.941,0.323,0.176,0,0.205,-10.307,0.506,0.662,120.036,4,10,209640,6,15
1PSBzsahR2AKwLJgx8ehBj,0.675,0.69,0.21,0,0.287,-4.761,0.132,0.272,137.817,4,2,239293,7,26
3NdDpSvN911VPGivFlV5d0,0.735,0.451,0.0631,0.000013,0.325,-8.374,0.0585,0.0862,117.973,4,0,245200,3,44
6I6NX6tjGsxFAsIfGzY9lJ,0.653,0.409,0.361,0.00012,0.189,-11.446,0.421,0.187,174.324,4,9,264747,9,22
7yyRTcZmCiyzzJlNzGC9Ol,0.886,0.525,0.236,0,0.057,-7.39,0.131,0.708,145.99,4,8,225205,10,44
0SGkqnVQo9KPytSri1H6cF,0.77,0.567,0.105,0,0.125,-5.698,0.175,0.26,81.477,4,2,222360,3,44
5GXAXm5YOmYT0kL5jHvYBt,0.768,0.813,0.427,0,0.102,-5.94,0.128,0.579,92.994,4,0,269187,10,37
6b8Be6ljOzmkOmFslEb23P,0.818,0.803,0.034,0,0.153,-4.282,0.0797,0.632,106.97,4,1,225983,13,35
5MFzQMkrl1FOOng9tq6R9r,0.783,0.623,0.338,0,0.0975,-6.126,0.08,0.447,100.048,4,7,214480,14,17
5uDASfU19gDxSjW8cnCaBp,0.886,0.427,0.0312,0.00099,0.0906,-10.028,0.145,0.23,108.034,4,6,177184,15,33
4F7A0DXBrmUAkp32uenhZt,0.585,0.612,0.181,0.0000103,0.293,-8.341,0.0806,0.188,77.487,4,1,249213,16,27
4pdPtRcBmOSQDlJ3Fk945m,0.476,0.718,0.0784,0.0000102,0.122,-5.309,0.0576,0.142,199.864,4,8,205947,12,22
6fwdbPMwP1zVStm8FybmkO,0.835,0.413,0.373,0.00133,0.101,-9.81,0.396,0.111,149.004,4,1,258880,17,44
4gmmRb6bZJffOOiww1JGTO,0.906,0.444,0.136,0.0000644,0.173,-8.692,0.384,0.678,140.063,4,4,235040,19,36
1xznGGDReH1oQq0xzbwXa3,0.791,0.619,0.00784,0.00423,0.351,-5.886,0.0532,0.371,103.989,4,1,173987,13,43
1qOLh0tI7trd1zdDKxYZTe,0.636,0.633,0.371,0,0.102,-4.23,0.126,0.512,99.721,4,4,181880,18,33
